pathway	external_id	source	hgnc_symbol_ids
Amiloride Action Pathway	SMP00133	SMPDB	FXYD2,SLC7A8,NR3C2,SLC7A6,SLC7A7,SLC7A5,CLCNKA,SLC14A2,SCNN1D,SLC7A9,SCNN1G,SLC12A6,SLC12A1,SCNN1B,SLC12A3,SLC38A4,AQP2,AQP3,AQP1,ATP1B2,ATP1B3,ATP1B1,SLC6A20,ATP1A1,SLC3A2,SLC3A1,SLC22A6,ATP1A4,ATP1A3,ATP1A2,SLC22A2,SLC1A1,SCNN1A
Leucine Stimulation on Insulin Signaling	SMP00682	SMPDB	AKT1,SLC7A5,RPS6KB1,IRS1,IRS2,PIK3CG,PIK3R6,INSR,MTOR,INS,EIF4E,EIF4EBP1,RHEB,TSC2,TSC1
Levallorphan Action Pathway	SMP00683	SMPDB	SLC6A3,SLC6A2,FXYD2,SLC6A4,PCSK2,SCN10A,CACNA1A,CACNB1,CHRNB2,GRIN3A,GRIN2A,ATP1A3,GRIN1,KCNIP2,KCND2,ATP1B2,ATP1B3,ATP1B1,CHRNA4,OPRM1,POMC,CACNA2D2,ADRA1A,DRD1,ATP1A4,SCN1B,ATP1A2,ATP1A1,HTR1A
Dimethylthiambutene Action Pathway	SMP00680	SMPDB	SLC6A3,SLC6A2,FXYD2,SLC6A4,PCSK2,SCN10A,CACNA1A,CACNB1,CHRNB2,GRIN3A,GRIN2A,ATP1A3,GRIN1,KCNIP2,KCND2,ATP1B2,ATP1B3,ATP1B1,CHRNA4,OPRM1,POMC,CACNA2D2,ADRA1A,DRD1,ATP1A4,SCN1B,ATP1A2,ATP1A1,HTR1A
Ethylmorphine Action Pathway	SMP00681	SMPDB	SLC6A3,SLC6A2,FXYD2,SLC6A4,PCSK2,SCN10A,CACNA1A,CACNB1,CHRNB2,GRIN3A,GRIN2A,ATP1A3,GRIN1,KCNIP2,KCND2,ATP1B2,ATP1B3,ATP1B1,CHRNA4,OPRM1,POMC,CACNA2D2,ADRA1A,DRD1,ATP1A4,SCN1B,ATP1A2,ATP1A1,HTR1A
Pentazocine Action Pathway	SMP00686	SMPDB	SLC6A3,SLC6A2,FXYD2,SLC6A4,PCSK2,SCN10A,CACNA1A,CACNB1,CHRNB2,GRIN3A,GRIN2A,ATP1A3,GRIN1,KCNIP2,KCND2,ATP1B2,ATP1B3,ATP1B1,CHRNA4,OPRM1,POMC,CACNA2D2,ADRA1A,DRD1,ATP1A4,SCN1B,ATP1A2,ATP1A1,HTR1A
Naltrexone Action Pathway	SMP00687	SMPDB	SLC6A3,SLC6A2,FXYD2,SLC6A4,PCSK2,SCN10A,CACNA1A,CACNB1,CHRNB2,GRIN3A,GRIN2A,ATP1A3,GRIN1,KCNIP2,KCND2,ATP1B2,ATP1B3,ATP1B1,CHRNA4,OPRM1,POMC,CACNA2D2,ADRA1A,DRD1,ATP1A4,SCN1B,ATP1A2,ATP1A1,HTR1A
Buprenorphine Action Pathway	SMP00684	SMPDB	SLC6A3,SLC6A2,FXYD2,SLC6A4,PCSK2,SCN10A,CACNA1A,CACNB1,CHRNB2,GRIN3A,GRIN2A,ATP1A3,GRIN1,KCNIP2,KCND2,ATP1B2,ATP1B3,ATP1B1,CHRNA4,OPRM1,POMC,CACNA2D2,ADRA1A,DRD1,ATP1A4,SCN1B,ATP1A2,ATP1A1,HTR1A
Alvimopan Action Pathway	SMP00685	SMPDB	SLC6A3,SLC6A2,FXYD2,SLC6A4,PCSK2,SCN10A,CACNA1A,CACNB1,CHRNB2,GRIN3A,GRIN2A,ATP1A3,GRIN1,KCNIP2,KCND2,ATP1B2,ATP1B3,ATP1B1,CHRNA4,OPRM1,POMC,CACNA2D2,ADRA1A,DRD1,ATP1A4,SCN1B,ATP1A2,ATP1A1,HTR1A
3-Phosphoglycerate dehydrogenase deficiency	SMP00721	SMPDB	SARS1,GNMT,AGXT,GAMT,DMGDH,CTH,CBSL,BHMT,GATM,GLDC,ALAS1,AMT,DLD,SRR,PHGDH,GCAT,SHMT2,SHMT1,PSPH,SDS,GLYCTK,ALDH2,PSAT1,CBS,MAOA,SARDH,GARS1
27-Hydroxylase Deficiency	SMP00720	SMPDB	LIPA,CYP7B1,AMACR,ACOX2,SCP2,CYP46A1,AKR1D1,CYP27A1,SLC27A5,HSD3B7,CYP39A1,CYP8B1,AKR1C4,CYP7A1,HSD17B4,BAAT,CH25H
Naloxone Action Pathway	SMP00688	SMPDB	SLC6A3,SLC6A2,FXYD2,SLC6A4,PCSK2,SCN10A,CACNA1A,CACNB1,CHRNB2,GRIN3A,GRIN2A,ATP1A3,GRIN1,KCNIP2,KCND2,ATP1B2,ATP1B3,ATP1B1,CHRNA4,OPRM1,POMC,CACNA2D2,ADRA1A,DRD1,ATP1A4,SCN1B,ATP1A2,ATP1A1,HTR1A
Dihydromorphine Action Pathway	SMP00689	SMPDB	SLC6A3,SLC6A2,FXYD2,SLC6A4,PCSK2,SCN10A,CACNA1A,CACNB1,CHRNB2,GRIN3A,GRIN2A,ATP1A3,GRIN1,KCNIP2,KCND2,ATP1B2,ATP1B3,ATP1B1,CHRNA4,OPRM1,POMC,CACNA2D2,ADRA1A,DRD1,ATP1A4,SCN1B,ATP1A2,ATP1A1,HTR1A
Fructose intolerance, hereditary	SMP00725	SMPDB	PHPT1,FCSK,GMPPB,ALDOB,GMDS,PFKFB1,HK1,FPGT,MPI,SORD,KHK,TPI1,PFKL,GFUS,FBP1,ALDOA,AKR1B1,PMM1
Folate malabsorption, hereditary	SMP00724	SMPDB	MTFMT,MTHFD1L,MTHFD2,MTHFD1,DHFR,MTHFS,ALDH1L1,DHFRP1,MTHFR,FTCD,FPGS,GGH,SLC46A1
Glycolysis	SMP00040	SMPDB	PANK1,PKLR,TPI1,GPI,BPGM,HK2,G6PC1,SLC2A2,GAPDH,ENO1,PFKM,PGAM2,PGAM1,ALDOA,GALM
Sulfate/Sulfite Metabolism	SMP00041	SMPDB	CHST11,PAPSS2,BPNT1,SULT1A1,SULT2B1,SULT1E1,SUOX
Hyperlysinemia I, Familial	SMP00527	SMPDB	HADH,AADAT,ACAT1,AASS,SLC25A2,PIPOX,SLC7A2,DLD,DLST,DHTKD1,ECHS1,ALDH7A1,GCDH
Galactose Metabolism	SMP00043	SMPDB	GALT,LCT,GALK1,GLA,GCK,HK1,G6PC1,PGM1,GALE,UGP2,B4GALT1,AKR1B1,GAA
Histidine Metabolism	SMP00044	SMPDB	AOC1,HAL,UROC1,PRMT3,ALDH3A1,ALDH2,HNMT,AMDHD1,MAOA,FTCD,HDC,HARS1,CNDP1,CARNS1,HARS2
Amino Sugar Metabolism	SMP00045	SMPDB	RENBP,NPL,HK1,UAP1,GNPNAT1,HEXA,SLC17A5,CHIT1,GNPDA1,PGM3,CMAS,NANP,AMDHD2,GNE,GFPT1,NANS,NAGK
Pyrimidine Metabolism	SMP00046	SMPDB	RRM2,UPB1,CAD,TYMS,CTPS1,DPYD,CMPK2,DCTD,ITPA,DPYS,RRM2B,NT5C2,TK1,DUT,UPP2,NME6,CDA,UCKL1,AK3,DHODH,GDA,TYMP,CANT1
Nicotinate and Nicotinamide Metabolism	SMP00048	SMPDB	NADK,AOX1,QPRT,PNP,NAMPT,NMRK1,ENPP1,NUDT12,NNMT,BST1,NMNAT2,NNT,NT5C2,NADSYN1
Bevantolol Action Pathway	SMP00668	SMPDB	KCNE2,RYR2,KCNE1,FXYD2,ATP2A2,SNTB1,TNNT1,KCNJ11,MYLK,ALG10B,TNNC1,TNNC2,SNTB2,KCNA5,SNTA1,DLG1,TNNT3,ITPR1,CALM2,CALM3,CALM1,CACNB1,CACNA1C,KCNK1,TPM1,CACNA1G,TNNI2,TNNI3,TNNI1,SLC8A1,ABCC8,KCNJ8,KCNIP2,ABCC9,CACNA1H,KCND3,PLCB1,ATP1B2,ATP1B3,KCNQ1,TNNT2,PRKAR1A,CACNA2D2,PRKACA,ATP1B1,KCNJ3,KCNJ2,TPM2,KCNJ5,KCNJ4,KCNH2,HCN4,ADRB1,ATP1A4,ATP1A3,ATP1A2,ATP1A1,PLN,AGTR1,SCN5A,CHRM2
Eptifibatide Action Pathway	SMP00266	SMPDB	ITGA2B,ITGB3
Practolol Action Pathway	SMP00669	SMPDB	KCNE2,RYR2,KCNE1,FXYD2,ATP2A2,SNTB1,TNNT1,KCNJ11,MYLK,ALG10B,TNNC1,TNNC2,SNTB2,KCNA5,SNTA1,DLG1,TNNT3,ITPR1,CALM2,CALM3,CALM1,CACNB1,CACNA1C,KCNK1,TPM1,CACNA1G,TNNI2,TNNI3,TNNI1,SLC8A1,ABCC8,KCNJ8,KCNIP2,ABCC9,CACNA1H,KCND3,PLCB1,ATP1B2,ATP1B3,KCNQ1,TNNT2,PRKAR1A,CACNA2D2,PRKACA,ATP1B1,KCNJ3,KCNJ2,TPM2,KCNJ5,KCNJ4,KCNH2,HCN4,ADRB1,ATP1A4,ATP1A3,ATP1A2,ATP1A1,PLN,AGTR1,SCN5A,CHRM2
Tirofiban Action Pathway	SMP00267	SMPDB	ITGA2B,ITGB3
Temocapril Action Pathway	SMP00733	SMPDB	AGTR1,AGT,REN,ACE
Quinapril Metabolism Pathway	SMP00596	SMPDB	ACE
Ramipril Metabolism Pathway	SMP00597	SMPDB	ACE
Fosinopril Metabolism Pathway	SMP00594	SMPDB	ACE
Moexipril Metabolism Pathway	SMP00595	SMPDB	ACE
Cilazapril Metabolism Pathway	SMP00592	SMPDB	ACE
Enalapril Metabolism Pathway	SMP00593	SMPDB	ACE
Ibuprofen Metabolism Pathway	SMP00590	SMPDB	PTGS2,PTGS1,HSPA5,UGT1A9,UGT1A1,UGT1A3,UGT1A10,HYOU1,DNAJB11,ERP29,SDF2L1,UGT2B7,UGT2B4,PDIA6,PDIA4,PDIA2,CYP3A4,CYP2C9,CYP2C8,SLC22A6,CYP2C19,SLC22A8,PPIB
Benazepril Metabolism Pathway	SMP00591	SMPDB	ACE
Pantoprazole Metabolism Pathway	SMP00615	SMPDB	ATP4A,ATP4B
Lansoprazole Metabolism Pathway	SMP00614	SMPDB	ATP4A,ATP4B
Cimetidine Metabolism Pathway	SMP00617	SMPDB	HRH2
Rabeprazole Metabolism Pathway	SMP00616	SMPDB	ATP4A,ATP4B
Ticlopidine Metabolism Pathway	SMP00611	SMPDB	P2RY12
Clopidogrel Metabolism Pathway	SMP00610	SMPDB	CYP2C9,CYP1A2,PON1,CYP2B6,P2RY12,ABCB1,CYP2C19,CYP3A4,CYP3A5
Spirapril Metabolism Pathway	SMP00598	SMPDB	ACE
Trandolapril Metabolism Pathway	SMP00599	SMPDB	ACE
Warfarin Action Pathway	SMP00268	SMPDB	F2,FGG,F5,KLKB1,F7,F8,F9,VKORC1,PLAT,PLG,F13B,F3,GGCX,COL1A1,F12,F13A1,F10,F11,FGA,FGB
Acenocoumarol Action Pathway	SMP00269	SMPDB	F2,FGG,F5,KLKB1,F7,F8,F9,VKORC1,PLAT,PLG,F13B,F3,GGCX,COL1A1,F12,F13A1,F10,F11,FGA,FGB
Congenital Bile Acid Synthesis Defect Type II	SMP00314	SMPDB	LIPA,CYP7B1,AMACR,ACOX2,SCP2,CYP46A1,AKR1D1,CYP27A1,SLC27A5,HSD3B7,CYP39A1,CYP8B1,AKR1C4,CYP7A1,HSD17B4,BAAT,CH25H
Cerebrotendinous Xanthomatosis (CTX)	SMP00315	SMPDB	LIPA,CYP7B1,AMACR,ACOX2,SCP2,CYP46A1,AKR1D1,CYP27A1,SLC27A5,HSD3B7,CYP39A1,CYP8B1,AKR1C4,CYP7A1,HSD17B4,BAAT,CH25H
Zellweger Syndrome	SMP00316	SMPDB	LIPA,CYP7B1,AMACR,ACOX2,SCP2,CYP46A1,AKR1D1,CYP27A1,SLC27A5,HSD3B7,CYP39A1,CYP8B1,AKR1C4,CYP7A1,HSD17B4,BAAT,CH25H
Capecitabine Action Pathway	SMP00469	SMPDB	CES1,TYMS,TYMP,SLC28A1,CDA
Corticotropin Activation of Cortisol Production	SMP00310	SMPDB	ADCY2,GNAS,MC2R,PRKACB,GNB1,GNG12,POMC
Excitatory Neural Signalling Through 5-HTR 7 and  Serotonin 	SMP00311	SMPDB	ADCY2,PPP1CA,GNAS,GNB1,GNG12,HTR7,CREB1,PRKACB
Excitatory Neural Signalling Through 5-HTR 6 and Serotonin 	SMP00312	SMPDB	ADCY2,PPP1CA,GNAS,GNB1,CREB1,HTR6,GNG12,PRKACB
Lactic Acidemia	SMP00313	SMPDB	GPT,AARS1,AARS2,AGXT,PC
Inositol Phosphate Metabolism	SMP00462	SMPDB	ITPK1,IPMK,ISYNA1,INPP5J,NUDT3,INPP4B,INPP4A,ITPKA,IMPA1,PPIP5K1,MINPP1,IPPK,IP6K1,INPP1
Phosphatidylinositol Phosphate Metabolism	SMP00463	SMPDB	PI4KA,EGFR,CDIPT,PIK3CA,PIK3CD,INPP4B,FIG4,PIK3R4,SYNJ1,PIK3R1,VAC14,ERBB2,PLCB1,BECN1,PIKFYVE,AMBRA1,PIK3C2A,PIK3C3,INPP5D,INPP5E,PIP4K2A,PIP5K1A,PTEN
Glibenclamide Action Pathway	SMP00460	SMPDB	CACNA1A,CACNB1,SLC2A2,INS,ABCC8,CACNA2D2
Gliclazide Action Pathway	SMP00461	SMPDB	CACNA1A,CACNB1,SLC2A2,INS,ABCC8,CACNA2D2
Transfer of Acetyl Groups into Mitochondria	SMP00466	SMPDB	PDHA1,MPC1,PC,ME1,MDH1,CS,ACLY,PDHB,SLC25A11
Trehalose Degradation	SMP00467	SMPDB	TREH,FXYD2,GCK,ATP1B2,SLC2A2,ATP1B1,SLC5A1,ATP1A4,ATP1A3,ATP1A2,ATP1A1,ATP1B3
Vitamin K Metabolism	SMP00464	SMPDB	F2,GGCX,VKORC1,NQO1
Carnitine Synthesis	SMP00465	SMPDB	ALDH9A1,BBOX1,SHMT1,SETD7,TMLHE
Gamma-glutamyl-transpeptidase deficiency	SMP00501	SMPDB	GSTO2,CASP7,GSS,GSR,GCLC,GGCT,GPX1,GCLM,GGT6,ANPEP,OPLAH
5-oxoprolinase deficiency	SMP00500	SMPDB	GSTO2,CASP7,GSS,GSR,GCLC,GGCT,GPX1,GCLM,GGT6,ANPEP,OPLAH
Hypophosphatasia	SMP00503	SMPDB	PDXP,AOX1,PDXK,PNPO,ALPL
Malonyl-coa decarboxylase deficiency	SMP00502	SMPDB	MLYCD,ACACA,ACAT1,ACSS3,ACSS1,PCCA,PCCB,ACADM,MMUT,ALDH6A1,ABAT,ECHS1,MCEE,HIBCH
Hyperornithinemia with gyrate atrophy (HOGA)	SMP00505	SMPDB	GOT1,GAMT,ALDH4A1,GATM,ARG1,CKB,DAO,GLUD1,OTC,PRODH,P4HA3,NOS1,OAT,EPRS1,PYCR2,SLC25A15,RARS2,ASS1,CPS1,ASL
Creatine deficiency, guanidinoacetate methyltransferase deficiency	SMP00504	SMPDB	GOT1,GAMT,ALDH4A1,GATM,ARG1,CKB,DAO,GLUD1,OTC,PRODH,P4HA3,NOS1,OAT,EPRS1,PYCR2,SLC25A15,RARS2,ASS1,CPS1,ASL
L-arginine:glycine amidinotransferase deficiency	SMP00507	SMPDB	GOT1,GAMT,ALDH4A1,GATM,ARG1,CKB,DAO,GLUD1,OTC,PRODH,P4HA3,NOS1,OAT,EPRS1,PYCR2,SLC25A15,RARS2,ASS1,CPS1,ASL
Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]	SMP00506	SMPDB	GOT1,GAMT,ALDH4A1,GATM,ARG1,CKB,DAO,GLUD1,OTC,PRODH,P4HA3,NOS1,OAT,EPRS1,PYCR2,SLC25A15,RARS2,ASS1,CPS1,ASL
Hyper-IgD syndrome	SMP00509	SMPDB	MSMO1,SOAT1,TM7SF2,NSDHL,IDI1,SC5D,GGPS1,SQLE,ACAT2,LSS,CYP51A1,FDFT1,HSD17B7,LIPA,HMGCS1,MVD,HMGCR,MVK,DHCR24,FDPS,PMVK,EBP
Cholesteryl ester storage disease	SMP00508	SMPDB	MSMO1,SOAT1,TM7SF2,NSDHL,IDI1,SC5D,GGPS1,SQLE,ACAT2,LSS,CYP51A1,FDFT1,HSD17B7,LIPA,HMGCS1,MVD,HMGCR,MVK,DHCR24,FDPS,PMVK,EBP
Dobutamine Action Pathway	SMP00662	SMPDB	KCNE2,RYR2,KCNE1,FXYD2,ATP2A2,SNTB1,TNNT1,KCNJ11,MYLK,ALG10B,TNNC1,TNNC2,SNTB2,KCNA5,SNTA1,DLG1,TNNT3,ITPR1,CALM2,CALM3,CALM1,CACNB1,CACNA1C,KCNK1,TPM1,CACNA1G,TNNI2,TNNI3,TNNI1,SLC8A1,ABCC8,KCNJ8,KCNIP2,ABCC9,CACNA1H,KCND3,PLCB1,ATP1B2,ATP1B3,KCNQ1,TNNT2,PRKAR1A,CACNA2D2,PRKACA,ATP1B1,KCNJ3,KCNJ2,TPM2,KCNJ5,KCNJ4,KCNH2,HCN4,ADRB1,ATP1A4,ATP1A3,ATP1A2,ATP1A1,PLN,AGTR1,SCN5A,CHRM2
Isoprenaline Action Pathway	SMP00663	SMPDB	KCNE2,RYR2,KCNE1,FXYD2,ATP2A2,SNTB1,TNNT1,KCNJ11,MYLK,ALG10B,TNNC1,TNNC2,SNTB2,KCNA5,SNTA1,DLG1,TNNT3,ITPR1,CALM2,CALM3,CALM1,CACNB1,CACNA1C,KCNK1,TPM1,CACNA1G,TNNI2,TNNI3,TNNI1,SLC8A1,ABCC8,KCNJ8,KCNIP2,ABCC9,CACNA1H,KCND3,PLCB1,ATP1B2,ATP1B3,KCNQ1,TNNT2,PRKAR1A,CACNA2D2,PRKACA,ATP1B1,KCNJ3,KCNJ2,TPM2,KCNJ5,KCNJ4,KCNH2,HCN4,ADRB1,ATP1A4,ATP1A3,ATP1A2,ATP1A1,PLN,AGTR1,SCN5A,CHRM2
Arbutamine Action Pathway	SMP00664	SMPDB	KCNE2,RYR2,KCNE1,FXYD2,ATP2A2,SNTB1,TNNT1,KCNJ11,MYLK,ALG10B,TNNC1,TNNC2,SNTB2,KCNA5,SNTA1,DLG1,TNNT3,ITPR1,CALM2,CALM3,CALM1,CACNB1,CACNA1C,KCNK1,TPM1,CACNA1G,TNNI2,TNNI3,TNNI1,SLC8A1,ABCC8,KCNJ8,KCNIP2,ABCC9,CACNA1H,KCND3,PLCB1,ATP1B2,ATP1B3,KCNQ1,TNNT2,PRKAR1A,CACNA2D2,PRKACA,ATP1B1,KCNJ3,KCNJ2,TPM2,KCNJ5,KCNJ4,KCNH2,HCN4,ADRB1,ATP1A4,ATP1A3,ATP1A2,ATP1A1,PLN,AGTR1,SCN5A,CHRM2
Amiodarone Action Pathway	SMP00665	SMPDB	KCNE2,RYR2,KCNE1,FXYD2,ATP2A2,SNTB1,TNNT1,KCNJ11,MYLK,ALG10B,TNNC1,TNNC2,SNTB2,KCNA5,SNTA1,CACNA1H,TNNT3,ITPR1,CALM2,CALM3,CALM1,CACNB1,CACNA1C,KCNK1,TPM1,CACNA1G,TNNI2,TNNI3,TNNI1,SLC8A1,ABCC8,KCNJ8,KCNIP2,ABCC9,DLG1,KCND3,PLCB1,ATP1B2,ATP1B3,ATP1B1,TNNT2,PRKAR1A,CACNA2D2,PRKACA,KCNQ1,KCNJ3,KCNJ2,TPM2,KCNJ5,KCNJ4,KCNH2,HCN4,ADRB1,ATP1A4,ATP1A3,ATP1A2,ATP1A1,PLN,AGTR1,SCN5A,CHRM2
Levobunolol Action Pathway	SMP00666	SMPDB	KCNE2,RYR2,KCNE1,FXYD2,ATP2A2,SNTB1,TNNT1,KCNJ11,MYLK,ALG10B,TNNC1,TNNC2,SNTB2,KCNA5,SNTA1,DLG1,TNNT3,ITPR1,CALM2,CALM3,CALM1,CACNB1,CACNA1C,KCNK1,TPM1,CACNA1G,TNNI2,TNNI3,TNNI1,SLC8A1,ABCC8,KCNJ8,KCNIP2,ABCC9,CACNA1H,KCND3,PLCB1,ATP1B2,ATP1B3,KCNQ1,TNNT2,PRKAR1A,CACNA2D2,PRKACA,ATP1B1,KCNJ3,KCNJ2,TPM2,KCNJ5,KCNJ4,KCNH2,HCN4,ADRB1,ATP1A4,ATP1A3,ATP1A2,ATP1A1,PLN,AGTR1,SCN5A,CHRM2
Metipranolol Action Pathway	SMP00667	SMPDB	KCNE2,RYR2,KCNE1,FXYD2,ATP2A2,SNTB1,TNNT1,KCNJ11,MYLK,ALG10B,TNNC1,TNNC2,SNTB2,KCNA5,SNTA1,DLG1,TNNT3,ITPR1,CALM2,CALM3,CALM1,CACNB1,CACNA1C,KCNK1,TPM1,CACNA1G,TNNI2,TNNI3,TNNI1,SLC8A1,ABCC8,KCNJ8,KCNIP2,ABCC9,CACNA1H,KCND3,PLCB1,ATP1B2,ATP1B3,KCNQ1,TNNT2,PRKAR1A,CACNA2D2,PRKACA,ATP1B1,KCNJ3,KCNJ2,TPM2,KCNJ5,KCNJ4,KCNH2,HCN4,ADRB1,ATP1A4,ATP1A3,ATP1A2,ATP1A1,PLN,AGTR1,SCN5A,CHRM2
Degradation of Superoxides	SMP00468	SMPDB	TYRP1,CAT,SOD2,SOD3,SOD1
Familial lipoprotein lipase deficiency	SMP00530	SMPDB	PLPP1,LIPC,GPAM,ALDH3A1,GLYCTK,LPL,PLPP2,GPD1,AGPAT1,GPD2,AKR1B1,DGKA,GK
Familial Hypercholanemia (FHCA)	SMP00317	SMPDB	LIPA,CYP7B1,AMACR,ACOX2,SCP2,CYP46A1,AKR1D1,CYP27A1,SLC27A5,HSD3B7,CYP39A1,CYP8B1,AKR1C4,CYP7A1,HSD17B4,BAAT,CH25H
Glycogenosis, Type VII. Tarui disease	SMP00531	SMPDB	PANK1,PKLR,TPI1,GPI,BPGM,HK2,G6PC1,SLC2A2,GAPDH,ENO1,PFKM,PGAM2,PGAM1,ALDOA,GALM
Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)	SMP00188	SMPDB	GOT1,GAMT,ALDH4A1,GATM,ARG1,CKB,DAO,GLUD1,OTC,PRODH,P4HA3,NOS1,OAT,EPRS1,PYCR2,SLC25A15,RARS2,ASS1,CPS1,ASL
Pantoprazole Action Pathway	SMP00228	SMPDB	CCKBR,CLIC2,ATP4A,ATP4B,SST,CA1,CHRM3,SLC26A3,HRH2,SSTR4,GAST
Rabeprazole Action Pathway	SMP00229	SMPDB	CCKBR,CLIC2,ATP4A,ATP4B,SST,CA1,CHRM3,SLC26A3,HRH2,SSTR4,GAST
Xanthine Dehydrogenase Deficiency (Xanthinuria)	SMP00220	SMPDB	RRM1,AMPD1,RRM2,ADCY10,ADSL,TXN,HPRT1,IMPDH1,XDH,PAICS,GUCY1A2,NT5C2,PFAS,ENTPD5,PRPS1L1,NUDT2,NUDT5,ENTPD8,APRT,GUK1,ADA,GART,PDE10A,GMPR,GMPS,NME6,ATIC,PNP,AK1,ATAD1,GDA,ITPA,PPAT,ADSS2,GUCY1B1,DGUOK,PDE4D
Methionine Adenosyltransferase Deficiency	SMP00221	SMPDB	MTFMT,MAT2A,BHMT,CBS,MTHFR,MTAP,DNMT1,MARS1,MSRB3,SRM,MSRB2,MTR,SHMT1,MAT2B,CHDH,IL4I1,AHCY,CTH,CBSL,AMD1
Glycine N-methyltransferase Deficiency	SMP00222	SMPDB	MTFMT,MAT2A,BHMT,CBS,MTHFR,MTAP,DNMT1,MARS1,MSRB3,SRM,MSRB2,MTR,SHMT1,MAT2B,CHDH,IL4I1,AHCY,CTH,CBSL,AMD1
Non Ketotic Hyperglycinemia	SMP00223	SMPDB	SARS1,GNMT,AGXT,GAMT,DMGDH,CTH,CBSL,BHMT,GATM,GLDC,ALAS1,AMT,DLD,SRR,PHGDH,GCAT,SHMT2,SHMT1,PSPH,SDS,GLYCTK,ALDH2,PSAT1,CBS,MAOA,SARDH,GARS1
Esomeprazole Action Pathway	SMP00225	SMPDB	CCKBR,CLIC2,ATP4A,ATP4B,SST,CA1,CHRM3,SLC26A3,HRH2,SSTR4,GAST
Omeprazole Action Pathway	SMP00226	SMPDB	CCKBR,CLIC2,ATP4A,ATP4B,SST,CA1,CHRM3,SLC26A3,HRH2,SSTR4,GAST
Lansoprazole Action Pathway	SMP00227	SMPDB	CCKBR,CLIC2,ATP4A,ATP4B,SST,CA1,CHRM3,SLC26A3,HRH2,SSTR4,GAST
Mexiletine Action Pathway	SMP00329	SMPDB	KCNE2,RYR2,KCNE1,SNTB2,ATP2A2,SNTB1,TNNT1,KCND3,MYLK,ALG10B,TNNC1,TNNC2,FXYD2,KCNA5,DLG1,TNNT3,ITPR1,CALM2,CALM3,CALM1,CACNB1,CACNA1C,KCNK1,KCNJ11,CACNA1G,TNNI2,TNNI3,TNNI1,SLC8A1,ABCC8,KCNJ8,KCNIP2,ABCC9,CACNA1H,SNTA1,PLCB1,TPM1,ATP1B2,ATP1B3,KCNQ1,TNNT2,PRKAR1A,CACNA2D2,PRKACA,ATP1B1,KCNJ3,KCNJ2,TPM2,KCNJ5,KCNJ4,KCNH2,HCN4,ADRB1,ATP1A4,ATP1A3,ATP1A2,ATP1A1,PLN,AGTR1,SCN5A,CHRM2
Lidocaine (Antiarrhythmic) Action Pathway	SMP00328	SMPDB	KCNE2,RYR2,KCNE1,SNTB2,ATP2A2,SNTB1,TNNT1,KCND3,MYLK,ALG10B,TNNC1,TNNC2,FXYD2,KCNA5,DLG1,TNNT3,ITPR1,CALM2,CALM3,CALM1,CACNB1,CACNA1C,KCNK1,KCNJ11,CACNA1G,TNNI2,TNNI3,TNNI1,SLC8A1,ABCC8,KCNJ8,KCNIP2,ABCC9,CACNA1H,SNTA1,PLCB1,TPM1,ATP1B2,ATP1B3,ATP1B1,TNNT2,PRKAR1A,CACNA2D2,PRKACA,CYP3A4,KCNQ1,KCNJ3,KCNJ2,CYP1A2,TPM2,KCNJ5,KCNJ4,KCNH2,HCN4,ADRB1,ATP1A4,ATP1A3,ATP1A2,ATP1A1,PLN,AGTR1,SCN5A,CHRM2
Congenital Bile Acid Synthesis Defect Type III	SMP00318	SMPDB	LIPA,CYP7B1,AMACR,ACOX2,SCP2,CYP46A1,AKR1D1,CYP27A1,SLC27A5,HSD3B7,CYP39A1,CYP8B1,AKR1C4,CYP7A1,HSD17B4,BAAT,CH25H
Lysosomal Acid Lipase Deficiency (Wolman Disease)	SMP00319	SMPDB	MSMO1,SOAT1,TM7SF2,NSDHL,IDI1,SC5D,GGPS1,SQLE,ACAT2,LSS,CYP51A1,FDFT1,HSD17B7,LIPA,HMGCS1,MVD,HMGCR,MVK,DHCR24,FDPS,PMVK,EBP
Phenylalanine and Tyrosine Metabolism	SMP00008	SMPDB	TAT,FARSB,GSTZ1,FAH,YARS1,FARSA,PAH,IL4I1,GOT1,HGD,HPD
Ammonia Recycling	SMP00009	SMPDB	HAL,SDS,GLDC,DLD,ASNS,GLUD1,AMT,GLUL,ASRGL1,CPS1,GLS2,GCSH
Glycine and Serine Metabolism	SMP00004	SMPDB	SARS1,GNMT,AGXT,GAMT,DMGDH,CTH,CBSL,BHMT,GATM,GLDC,ALAS1,AMT,DLD,SRR,PHGDH,GCAT,SHMT2,SHMT1,PSPH,SDS,GLYCTK,ALDH2,PSAT1,CBS,MAOA,SARDH,GARS1
Pterine Biosynthesis	SMP00005	SMPDB	DHFRP1,DHFR,QDPR,SPR,GCH1,CBR1,AKR1B1,PTS,GCHFR
Tyrosine Metabolism	SMP00006	SMPDB	TAT,DBH,COMT,AOC1,ALDH3A1,GSTZ1,MAOA,MIF,FAH,HAAO,PNMT,ADH1A,DDC,DCT,GOT1,HGD,TYR,HPD
Beta-Alanine Metabolism	SMP00007	SMPDB	AOC3,DPYD,ALDH2,GAD1,DPYS,ALDH6A1,ABAT,UPB1,CNDP1
